[SPRITES]
1400001	0	0	64	64	20
1400002	65	0	129	64	20
1400003	130	0	194	64	20
1400004	195	0	259	64	20
1400005	260	0	324	64	20
1400006	325	0	389	64	20
1400007	390	0	454	64	20
1400008	455	0	519	64	20
1400009	520	0	584	64	20
1400010	585	0	649	64	20
1400011	0	65	64	129	20
1400012	65	65	129	129	20
1400013	130	65	194	129	20
1400014	195	65	259	129	20
1400015	260	65	324	129	20
1400016	325	65	389	129	20
1400017	390	65	454	129	20
1400018	455	65	519	129	20
1400019	520	65	584	129	20
1400020	585	65	649	129	20
1400021	0	130	64	194	20
1400022	65	130	129	194	20
1400023	130	130	194	194	20
1400024	195	130	259	194	20
1400025	260	130	324	194	20
1400026	325	130	389	194	20
1400027	390	130	454	194	20
1400028	455	130	519	194	20
1400029	520	130	584	194	20
1400030	585	130	649	194	20
1400031	0	195	64	259	20
1400032	65	195	129	259	20
1400033	130	195	194	259	20
1400034	195	195	259	259	20
1400035	260	195	324	259	20
1400036	325	195	389	259	20
1400037	390	195	454	259	20
1400038	455	195	519	259	20
1400039	520	195	584	259	20
1400040	585	195	649	259	20
1400041	0	260	64	324	20
1400042	65	260	129	324	20
1400043	130	260	194	324	20
1400044	195	260	259	324	20
1400045	260	260	324	324	20
1400046	325	260	389	324	20
1400047	390	260	454	324	20
1400048	455	260	519	324	20
1400049	520	260	584	324	20
1400050	585	260	649	324	20
1400051	0	325	64	389	20
1400052	65	325	129	389	20
1400053	130	325	194	389	20
1400054	195	325	259	389	20
